Index,Likes,Comment
23,0,"absolutely LOVE Piers. Never used to, back in 2021 I was so ‘woke’ it was making me ILL. But now I see it all for what it is, groomers and confusion. Protect women, and protect our kids!!! For those who are real trans people, amazing. Nothing but love and respect. But all these 1000s of genders, absurd requests, changing school curriculums for the 1%, is SO dangerous!!"
24,0,the npc had a existential crisis
25,0,"Your birth certificate determines your gender, call yourself what you want , you are either male or female 🤷🏻‍♀️🤷🏻‍♀️"
26,0,skin walker today can even imitate human smh
27,0,This is ludicrous stuttering cause you know it’s wrong but “have a point to prove” this world we live in is actually depressing for the normal people who want to live a life pre 21st century
28,0,I actually hate this timeline growing up it’s ridiculous (22) depressing
29,0,Lady in white needs her head checked she probably walked off that show thinking she won
30,0,He’s an icon ”I’m Peirs Morgan and I identify as a black lesbian” dead💀😊
31,2,I am a walrus
32,0,"In my opinion, a woman, regardless of what you identify as, is a person who has a vagina and is usually where the offspring comes out of, regardless of what you mentally are"
33,0,I wonder how youtube didnt ban this video 🤣 this conversation is insane
34,0,"I,'m Loretta and I want to have baby's !"
35,0,Yeaaaaeeee! I wouldn't have said it better !!! 👌🏻
36,0,"as a potato on sunday, shall i be a banana or apple on monday?"
37,0,Piers try to let people TALK....
38,1,Today USA is the main NEST of World's satanists
39,0,That gotcha moment on Pier's guest. hahahha ohboy she is destroyed
40,1,These freaks out there make me wish I had a better world for my grand children. It's not difficult you either sit to piss or stand. get over it and well done Piers 🙂
41,0,"Such a dangerously stupid girl Angelica, wow"
42,2,Lol no one’s dealing with this lol nor care about this transgenderism. No one give a fuck lol 😂 but it’s more like a movie that we feed entertainment from. Lol
43,2,Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha….. what a dumb conversation
44,0,I’ve decided to identify as a alien from another planet. I expect you and everyone else to refer to me as such and respect me! This is not crazy. You shall not lock me up. I shall be celebrated! And don’t you dare misidentify me. Just remember though that next week I will go back to being a Phoenix so I can fly far far away.
45,1,As Lesbian Green woman who identifies as a nuclear dragon this really concerns me !
46,0,All I want to say is yeaah the boys 💯
47,0,These people all need jesus
48,0,As an INTJ this white woman is absent of any logic
49,0,"he really played their own game against her by asking how many genders are there , she said two, and he immediately took it and ran with it to dramatise it..
he played their own game ON HER"
50,0,"Thank you Piers. 
Angelica, you are absolutely crazy and a hypocrite."
51,0,"In day I identify as an lesbian apple and in night I identify as a black Chinese non binary table 
But I am not crazy and you all need to support me and use the pronouns I will choose for myself"
52,0,yep lets fire doctors and see what happens
53,14,"I'm a woman piers ,yes I have a pee pee ,and yes my nipples hurt when I ovulate 🤭😁 you have no idea piersy, .lol"
54,0,"I learned 200,000 yrs ago that if can give birth your a woman.
If you can't your a man.
Did people grow extra body parts since?"
55,0,I don't even listen to this insanity life is way too short for nonsense. There's a satanic spirit that has taken hold of the minds of those who are unbelievers and they are too blind to see it. So the only thing we can do is pray for them because they are in serious eternal trouble with this transgender agenda. They are being swayed by the devil himself.
56,1,It`s ufortunate that experienced men have to be schooled on  the delicate difference between sex and gender.
57,0,"I was born a man but deep inside I've always feel like that's not what I am, I strongly believed that I'm an autobot. Now, I'm a proud member of the transformers community. 🤖"
58,1,4:06 this part I've watched sooo many times and It always ends up making me laugh 😂
59,0,"8:57 ""dumBer?"""
60,0,Does she identify as Michael/Cera
61,0,The tyranny of minority... Its ok to dismantle the women rights as long as the lgtv community happy. Mad.
62,0,Dumber
63,0,"As a small child I wanted to 'BE' a 'tomboy'.  I wanted to do boyish things - climb trees, play with toy trucks and tractors, learn mechanics and carpentry.  (I disliked ""cut-out dolls"" - which were cardboard and you cut their clothes out of the magazine to dress the doll.)  But these desires for 'manly' accomplishments  were programmed out of me. These were NOT considered 'proper' for a girl.  I wanted to study medicine and BE competent ""like a man.""  Instead, I was taught that wasn't ""lady-like"".  So I had to suppress the dreams that I perceived as useful contributions to humanity. Unfortunately, I didn't know what to replace them with and so I made faulty decisions based on these concepts of being ""less than"" and 'needing' a man to survive and thrive.   What a waste of wonderful human potential, a waste of divine dreams."
64,0,Western society are getting crazy by the day
65,0,I identify as a nine tail fox
66,0,I don’t believe in transgender people but I think this young lady need  a good F she is a very angry person get a boyfriend or something
67,0,"From what I have seen in my lifetime is this:  The Achilles heel of liberal thought is there is no end to their ideology only a slope that has no end.  
For conservatives I feel their Achilles heel is they are so resistant to change they appear ignorant to ""the educated"".  They come across as ignorant and not a part of the future"
68,0,I identify as a camouflaged cellphone tower!  Good grief!  This is absolutely asinine and ludicrous!!
69,0,Is the majority of the world transphobic or some trans are just heterophobic? Think about that!
70,0,Damn first world problems are bizarre as fuck
71,0,"Trans women are like Christianity, if you have your own opinion about them, they get rid of you"
72,0,I love debates against LGBTQ  is just fucking funny
73,0,How come it takes 18 years for a girl to become a woman but a man can do it instantly just by saying so.
74,0,Go Morgan #1
75,0,I identify as R2D2 😑😂
76,0,Piers Morgan is the best pinguin!
77,0,"Ha, she was schooled. Those people have no logical abilities."
78,0,That sudden outburst of laughter killed me
79,0,I liked what Morgan has exposed as argument but I didn't like how he didn't let the activist respond
80,0,girl in the right 100 percent loves doin aa blowj. What big  mouth mate xDDD
81,0,🤣🤣🤣 On Tuesday Your a Woman and on Thursday Youre a Pizza 🤣🤣🤣
82,0,"When archaeologists dig up our bones in a thousand years from now, they will look at the skeleton and you'll either be male or female. Plants are male and female. Birds and bees are male and female. In fact most life on Earth is male and female. People who imagine otherwise are idiots."
83,0,"🤣🤣🤣🤣🤣SUPER funny. Completely agree with your views on all this ""gender identification'' thing. However, there is one question I would like to ask about this whole gender identification thing. So, gender is basically what genitals you are born with, right? And the sort of people you argued with tonight, are making being gay, lesbian and a pizza (that was such a funny example in my opinion), how are those, genders? I mean, shouldn't that qualify as romantic preferences and not gender identification? And please, to everyone that has read this, please do not take any offence from this please,  I tried to say this in the least rude way I could."
84,0,"😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂

Funny how she could not answer simple questions"
85,0,I'm in love with Tomi Lahren and not because for her looks.
86,1,Mafia Rainbow 😂😂😂 *WHAT* ?!?
87,0,And one more thing I would not like to be called a “cis woman” no I’m a girl a female and or woman period we don’t except that cis shii
88,0,To make them dum-ber…
89,0,Maybe let Angelica Malin talk and finish her sentences before you brutally interrupt her each time...
90,1,I identify as an A-10 Warthog. My pronouns are BRRRR/TTTTT.
91,0,"Dear Piers you never disappoint lol. a black lesbian really cracked me up. I love the way you get to the nitty gritty no matter who it may offend, i wish there were more like you, this world would be a much more logical place. More power to you sir!"
92,1,"Hopefully, Angelica will NEVER give birth!"
93,0,Only people that go through the transformation process should be allowed to identify as whatever they've now become. Period!!
94,0,"People, you are confusing gender with gender identity. You are arguing two separate independent topics. Gender identity isn’t about a penis or a vagina, unless you make it about that. If you asked Piers who he was he’d say he’s a reporter, tv personality, conservative….. the  fact he’s male might not be top of his list. Now imagine he wanted to be a woman. His gender would be closer to the top, like when Bruce Jenner became Kaitlyn Jenner and no longer identified as an Olympian, or male. Identity is fluid like sexuality. Trans people help us define the difference between gender and sexuality. Arguing that someone can’t be the gender they want to be is like arguing you can’t be a superhero. It’s the word “gender” that people are up in arms about. So let’s say there are as many genders as there are people but only two sexes, male and female. So you can ask people what sex they are or you can ask them if they have a penis or a vagina and then ask them if they like their penis or if they’d like to trade it in for a vagina or would they like to have both. Now let’s redefine the word gender to mean, how you feel inside, (like being aware of your feelings). Now think like a 3 year old when the kid pretends to be a cat or a dog. And you ask the kid what they are and they say “I’m a cat!” as if it wasn’t obvious. It’s the same thing. 20-somethings want to be 3 year olds because the world is too stressful. They are children on the inside but adults on the outside which is scary. If humans now live to be 90 and not 70, then we need to push adulthood from 18 to 35. Now you’d think this would make humans extinct due to child bearing years but these kids probably can’t procreate anyway because if they don’t know a penis from a vagina they’re gunna be even more frustrated. If Piers had a teenage child living at home he’d get it. Let’s not butcher or drug our children please but let them play dress up and stay children past 18."
95,0,Why i can't identify as a black person? So i can say n word
96,0,@8:56 she straight up said dumm-bber
97,0,I think Putin loughing to deth!
98,0,"Some people are beyond help!!!! I think that people are just doing things like this to get their name out there, but what they don't realize is; their names are going under the mud, making themselves look stupid!!!! Period!!!"
99,0,What a diabolical agenda. 😢
100,0,What about that man boxer or UFC fighter or something that identified as a woman and killed the female opponent? I don't know if its true because i haven't heard anyone mention it. I mean this world is going straight to Hell!!!!
101,8,Title wrong why hate 😢
102,0,"Great, now you can threat the world with nukes coming from the moon"
103,1,Super pawar amerikaaa🤡
104,7,"Video Title should have to change 
Please request to CRUX memeber 😢"
105,3,ASS burning news 😭😠
106,1,The moon landing looks like a male enhancement drug on lndians.
107,16,"India became 1st country to land on Lunar South pole where there is water & NASA will also be sending Arthemis mission to the south pole for that water. India also became the 4th country to achieve a soft landing on the moon after US,USSR & China.

After this mission, India is building a space station to become 3rd country after the US & China to have a Space Station. Also the Gaganyan mission to send the 1st Indian in space in a 100% indigenous Indian made rocket. Then there is mission to land a rover on the Mars.

The future is bright for the Indian Space Agency ISRO & also humanity as a whole benefit from these accomplishments"
108,4,Welldone irso well done India
109,16,Russia fail due to *chinese copy chips* which was used on *LUNA-25*
110,7,feeling proud🇮🇳🇮🇳🇮🇳❤️‍🔥🔥
111,184,India did not beat Russia.  It was successful in its mission.  Russia is great in space tech in its own way.  Don't use harsh language while reporting.  Thank you
112,1,🎉🎉🎉
113,11,"🇮🇳 NAMASTE TO ALL 🙏,  Thank You ISRO Team for this Fantastic Achievement,  You made a step closer towards transforming the World's dream of 'Looking to the Sky and other Planets "" into 'Learning & Living on other Planets"".  My Heartful Congratulations for this Big Success and Your Future Endeavours.  
Jai Vignan , Jai Bharat 🇮🇳"
114,0,"This is haram 
Astagfirullah"
115,139,"We didn't beat Russia, our Victory is Russia's victory too.. ❤"
116,5,Breaking News:Burnol is out of stock in the West
117,0,Russia is our brotherhood its a joint victory of the world
118,2,Congrat ISRO
119,2,"UFO/UAP concerns from the USA, it’s so they can boost spending for space force. So they can compete in the next space race."
120,0,"Whoever writes ""Beats Russia"" definitely gets their funding from the West.

We are not competing with Russia or anyone."
121,15,Congratulations to India 🇮🇳and its *PROUD* residents for making History by being the first ever to land on the South Pole of the Moon 🌕
122,5,"Yes Russia is friend of India, Russia is already good at Space and moon. There is no space race. Two counties must have some plans for moon so timing coincide"
123,0,What benefits have ordinary Indian citizens gained from this?
124,2,❤❤❤❤❤❤❤❤❤
125,0,nonsense. cgi BS.
126,0,they are lying to the masses
127,2,"❤❤❤❤🎉🎉🎉💐💐💐💐💐🍀💝🌻🌼🥀🌺🌹🌳🌲🌴😊😊😊⚪🌛🌜🌚🌙🌘🌗🌖""Congratulations to ISRO on the successful completion of the Moon soft landing mission! Your dedication, hard work, and innovative spirit have once again showcased India's prowess in space exploration. This remarkable achievement is a testament to the brilliance of your team and the technological advancements of our nation. May this success pave the way for even greater accomplishments in the future. Well done, ISRO!"""
128,2,Congrats india 👍
129,3,"They need to get out of their colonial mindset, still playing that divide and rule to hamper INDIA and RUSSIA relations"
130,0,"That is the power of India,Chandrayaan-1 probe detected water on the moon's surface. Many so-called developed nations that running on Indian blood and Indian money can’t even launch a single rocket from their surface. Jai Hind,Jai Bharat
And we love Russia dont have any intension to defeat them when all europe usa r against us they r with us so."
131,0,Congrats india 👍
132,2,"No one beat no one, there is no competition here."
133,0,Jai Hind 🇮🇳🚩😍❤️🙏
134,0,"India doesn't want to beat anyone. Russia is big brother, they are way advance in tech than India. It just a challenge for India itself. It is just for a pride as human scientific species. Computer was invented by bill gates, they played major role in programming the trajectories of the moon. Not even a single computer get manufactured in India. We are cyber coolies and labour our brain for US to make money. We have to work harder now, to manufacture things in this country of highest quality. We must have our own google and what not. We must not delude ourselves."
135,4,"Change the title please, at this point all the comments are saying the same thing. Hope your channel does the needful. 
India has achieved great success, no need to mar the great sentiments with something so negative. India and Russia are great allies, we must also not forget that Russia was also the first country to land on moon in 1959 with their Luna 2 thus they deserve respect as well."
136,0,lndia is 10 years ahead of USA in space technology. Jai hind
137,3,"Wrong headline .
We defeated no one .
We won and we won for humanity. 
Congrats to humanity 
Congrats to ISRO , BHARAT."
138,12,There is no competition between India and Russia  we are friendly country  and its all western thinking to make competition between  two friendly country 🇮🇳❤🇷🇺
139,1,Space technology is for humankind.
140,1,"Congratulations To India
We successfully landed on moon"
141,0,Conrajulationteanisro.scientists.wonderful.mission.acomplished.jai.bharat.jai.jai.jai
142,1,I ❤️ u India  🇮🇳 ... Sincerely do ..
143,6,thank you Russia  for handholding us and we love to stand with you  in joy / happiness and sorrow and  live u have been with us ....  god bless you Russia  with you always
144,1,How will the rover work at so extreme -238 degree celcius?
145,2,ISRO continues to amaze despite their limited budget.  Well done.
146,1,Congratulations India with your third attempt and first successful landing on the south pole of the moon.
147,0,India need more toilets than this project 😂
148,0,😊😊😊 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳 India same
149,0,Why media ppl comparing to other countries zzz india is not competing wit anyone…😡 Russia is far ahead of india in space technology
150,4,India Loves Russia .It Isn't Any Kind Of Competition...Cheers To Close Friend Russia
151,3,NOT BEAT RUSSIA IT IS THE SUCESS OF INDIA ....JAI HINDH ....
152,0,Hindi-Russian Brother Brother 🇮🇳❤🇷🇺 ✊
153,2,lezzzz go India!!!!!
154,0,"Where India's farmers are burdened with debt and unable to pay their debts, commit suicide, and 70% of India's people sweat under the open sky, why is India so luxurious, I don't really understand."
155,0,How western mouthpiece crux trying to make India relations with Russia...shame on you crux
156,0,now if we could only get a decent extended car warranty
157,0,Was it galactic weapons and surveillance equipment? Plus more
158,0,Next update we lost contact 😂😂
159,4,Russia and india are brothers.❤
160,3,If india and Pakistan both restore peace and trade it will be another chandrayaan landing on earth to fight poverty disease and education on both sides of borders. Somehow congratulations india over so big success.
161,2,"They(🇬🇧) need to think of their poor mindset instead of Indian poverty.. We are getting better and they're glooming, remember that.  🇮🇳❤️ 🇷🇺 .."
162,3,"Its success of whole world..... knowledge is shared from everyone.

Each and evey small technology advance happened over the year in all the countries are contributed in some the other way..

So...its success of whole world..

Yes ISRO was in the drivers seat"
163,0,We are in human kind race not for any country race😅❤
164,2,Chandrayan 3 budget <<<< Single Hollywood movie budget ... That's why India is a great.... Proude to be Indian
165,0,🇮🇳🇷🇺❤🤝🏻 .... So shut ya mouth
166,0,Not there to beat Russia.. it was sent 3 months ahead
167,0,Jai hind jai bharath vandemataram jai isro bharath mata ki jai
168,1,We indians ❤️ RUSSIA
169,1,❤❤❤❤❤❤❤❤❤❤❤❤
170,2,World must ban madrasa education system because they are created only jihadist 😂😂
171,0,Uganda should follow through
172,0,People believe anything
173,1,"As an indian i would very happy if both of lander from 🇮🇳 & 🇷🇺 land. 
Sad of that one is crashed but still we have generated hope by successfully land one , curious to know the South pole."
174,2,We didn't beat Russia.Russia has helped us many times.we are thankful to Russia 🇮🇳🤝🇷🇺
175,12,Long live to the Indian people!!!!!!!! Congratulations from Brazil!!!!!
176,1,Great job India!!
177,0,Hello... There is no race btwn India and Russia
178,1,"Russia fas the first nation to land and soft land something on the moon. 57 years ago😎
Still congrats to India but both countries have better things to spend on than moon samples"
179,1,"Now modi will take the credit, poor scientists 😂 🤣"
180,2,India Russia both are friends. We love Russia. Its not about beating our beloved friend Russia. We Indians always wishes good for them ❤
181,0,"Well done India, putting to shame those wreched egotistical Russians!"
182,5,Congratulations India! You officially just passed Russia. You’re on your way to becoming a global superpower ❤️‍🔥 Go India! 🇮🇳
183,0,Whats this beat Russia nonsense 😂😂 anything for click and a like 🤔
184,1,"We indian , One day must be Super power ....who is USA ? ...  Workd Largest military , GDP , Scientist in our Country's....... Love you India"
185,1,"India and Russia ..... Are Frnds .... Pls, not Compare ....Russua is powerfull country .... India Loves russia .."
186,2,we never try to beat russia.. russia is ultimate friend.. ISRO congrats russia never compete with anyone ❤
187,0,We have to be careful what Russia let us know! They are gaslighting the Biden administration!
188,0,India beat The world to land first on South pole GROW UP. IND RUS  friendship is deep.
189,4,"Congratulations India. India have shown that they are on the path to becoming a full fledged superpower.

Since Russia has never achieved anything in space, or landed on the moon (Soviet Union did in the 70s, not Russia), it shows that India are in a small group of nations capable of space travel; US, India and China"
190,0,The rover seems to be missing? Lost communication? why haven't it roll out from the lander?
191,0,Russia have landed already in 1976. 47 years ago
192,0,We dont beat Russia we are brothers
193,2,"Comon guys we seriously need to increment ISRO's budget , they deserve it"
194,1,Like ❤❤❤
195,1,🇮🇳❤️🇷🇺#proud to be Indian
196,1,"
Congratulations to all. Feel proud as an Indian. Great work, ISRO, for all of humanity. Love you ❤️"
197,3,Congratulations to Indian nation with this wonderful space mission success from Russia! Nice job! 💫
198,0,"2:08 What about a lunar atmosphere, Crux?"
199,0,Congrats ISRO! She's the 1st artificial object landed on the south pole of Luna! It's amazing!!!
200,0,Congratulations India from the USA on ur momentous achievement. May we continue to reach for the stars.
201,0,"Disregard the critics' nonsense 😂😂😂
Will give a review... 😂😂😂

Gadar 2 - 500cr in 12 days worldwide 🌐 😂😂😂😂😂😂😂😂😂"
202,0,"
Bro, I am unsubscribing from your channel today."
203,0,"
Gadar 2..... Blockbuster
Which honesty 😂😂"
204,0,"These days, everyone becomes a reviewer who doesn't even know the ABCD of movies 😂😂😂"
205,0,Komal nahta  is true reviewer...❤
206,0,"How much are you screaming, bro? Have some water. Your idiotic review didn't work; check the box office."
207,0,"It is not necessary that the movie is really bad, If Suraj Kumar doesn't like any movie. It is also not necessary that majority of the viewers may feel in the same way. Every one is having the right to put his opinion on social media. The box office collections  obviously prove that it's a hit movie."
208,0,"Suraj bhai, are you under pressure from someone? If you didn't like it, can't we stay silent? At least, show some respect for Sunny sir. People aren't liking your review."
209,0,"
If there's no knowledge, one shouldn't make a mess of things."
210,0,"
Yours is burning too, isn't it? 😅😅😅😅"
211,0,you crazy guy
212,0,are you crazy or wot
213,0,"Where did you say Gadar has become a blockbuster, idiot?"
214,0,Came to criticize the movie Gadar. you fucker
215,0,"Where did you say Gadar has become a blockbuster, idiot?"
216,0,"You said it right. If you didn't like such a movie, then just go. Learn from adult movies. If not adult, you should watch porn movies. You shouldn't watch such movies."
217,0,"
Your existence is also not something your mother planned; it happened by mistake."
218,0,How did you feel after burring in an anaconda?
219,0,"I appreciate your feedback on Gadar 2. It seems like you find the film's story promising at the beginning, but express concerns about the shift in tone, especially with Sunny Deol's return. It's interesting that you highlight specific elements like the ""Ud ja kale"" song timing, the handpump scene, and the love story as positive aspects. Constructive feedback can be valuable for filmmakers to understand audience preferences. If there's anything else you'd like to share or discuss, feel free to let me know."
220,0,"It seems the success of Gadar 2 has left the ""samosa critic"" in a tight spot, judging by the collections 😂😂😂😂😂😂😂😂😂."
221,0,"This guy Suraj seems like a top-class troublemaker. Another KRK, perhaps."
222,0,Let's stop the nonsense. Will you get slapped?
223,0,You're barking like a mad person.
224,0,"Now your channel is in trouble, son."
225,0,"Now, you will go to Pakistan to find your channel."
226,0,"Damn, you didn't like it, huh? No money this time?"
227,0,😂😂😂😂 Super Suraj Brother😂😂😂😂 It was fun 🤣🤣🤣
228,0,"Is he giving a review or putting on a two-bit show? And it looks like ""chutiya"" is written on your face. And yes, Gadar 2 is going to make 500 crores."
229,0,"First, take a look at your own face, you son of a dog. Why didn't his father fall asleep early that day?"
230,0,"Another movie that has no sense no logic and is million miles away from reality one man taking on whole of Pakistan and it's army who are strong and armed with serious fire power they rain fire on him and not a single scratch on sunny paa wow amazing and amazingly he can pull out electricity post's, hand pumps from the ground with his bare hands 🤣 and beat up a whole country with them i think the indian government should seriously put sunny deol on the line of control by him self and save so much money for India because the man is capable of taking on the whole of Pakistan by himself so who needs the indian army let them have rest sunnys got it under control. Its a propaganda movie Made to make lot's of money on independence day made to create hatred between people and country's. Sunny Deol should be ashamed of himself for making this movie please check how he was actually greeted when he actually went to Kartarpur in Pakistan pictures speak volumes and that was not a movie. Just Google it. These actors directors producer's politicians people in high authority don't care one single bit about the comman person they just want to make loads of money and the best way is divide and rule. Just check how much money GUTAR 2 sorry lol GUDAR 2 has made by dividing the 2 neighbouring country's by creating hatred. SPREAD LOVE NOT HATE."
231,0,"Is he giving a review or putting on a two-bit show? And it looks like ""chutiya"" is written on your face. And yes, Gadar 2 is going to make 500 crores."
232,0,"""Hey, you're an idiot. Look at the collections of Gadar."""
233,0,"Your father is coming with Gadar 2. It will break records, watch it, you traitor."
234,1,"If you don't know how to review, then just leave it. You were wrong last time, even during Pushpa's time. Do you go to watch movies after getting drunk? Gadar is a father of movies, a super hit 🌟."
235,0,Monkey stop review.
236,1,"You're talking too much, stay within your limits."
237,1,Monkey stop review.
238,0,True review... the movie is completely rubbish. A game of hide and seek is going on throughout the entire movie.
239,0,"""Gadar 2 is the father of all films."""
240,1,"The review was given in a manner similar to your appearance 😂😂😂. I am unsubscribing right away. You had praised shamelessly before, brother. What happened to you? Didn't you like ""Long live India""?"
241,1,"You are really a big idiot, brother, I realized that today."
242,1,Nobody cares about your review
243,1,You are wrong bro I think utkarsh is best actor
244,0,Gadar 2 is a shit . I repeat it's a shit. don't sell sunny paaji's name to cover it
245,0,"""The burning of the setting sun, seeing the collection of Gadar 2, I watched the movie and liked it. With a budget of 60 crores, what else do I need? This broker is trying to roast like Carry Minati but there is no logic in his words. He doesn't even know that the Indian Army helps locals. Go and google it, you idiot."""
246,0,Aur Bhai Suraj 400 coror gin paoge ya uske liye bhi paise loge 😂
247,1,"""The sun has set; Gadar has earned 400 crores. Rajpal Yadav, you act exactly the same 😂."""
248,0,"Bro, your nonsense has been exposed. The movie has become a blockbuster. Sunny Deol's fan following has crushed your review 😎😎 Jai Hindustan!"
249,1,"Hey, idiot, your saying doesn't change anything. Sunny sir's movie has become a blockbuster 😂😂 This is the power of the common people in India! 💥💥"
250,0,"If Gadar 2 becomes a superhit, your backside will burn even more 😂😂😂. Your group is already feeling the heat."
251,0,"He's doing nonsense, man."
252,1,Looks like you turned out to be a fool... what a fantastic movie Gadar 2 is! 😊... you should stop watching now.
253,0,"It's a genuine review, brother."
254,0,"I apologize if my responses have upset you. I'm here to assist and provide information respectfully. If there's anything specific you would like to discuss or if you have questions, please let me know, and I'll do my best to assist you."
255,0,"He's doing nonsense, man."
256,1,"""Are you reviewing or explaining the movie? I will have to complain to YouTube guidelines."""
257,0,Gadar 2 blockbuster
258,1,Its not a fancy dress it is a dress from 1971
259,0,gadar 2 is better than kgf2 and pathan
260,1,I am Unsubscribing you only for this review... Hajam nahi hota tumse Hindustaan Jindabaad.... kuch movie hoti hain jinko dil se dekha jata hai logic nahi dhundhi Jati pagal kahi ka...
261,0,stop talking nonsense😂
262,0,Honest Review.
263,0,"Now that you have started talking, Suraj Bhai... you have really started to understand what a person you are. It is clear that your review was appreciated. Unsubscribed you. You are becoming overconfident. You will soon see the power of the public."
264,0,"Actions scenes are a little too much but the movie was good and the hand pump scene was the best and Tara Singh is playing Pakistan's logo as a toy.
"
265,0,"Just avg film,"
266,2,Does Zandu consider himself a big movie lover? If he has guts in his ass then try recreating a scene from a movie
267,2,"Blaming others for mistakes is easy. If you think you're a big shot, try becoming a movie director."
268,1,Make your own career... What will you do if YouTube stops? Utkarsh has acted very well and the movie is also a blockbuster.
